country,age,male,female
Austria,<14,582210,552238
Austria,14-17,183689,174224
Austria,18-34,946672,922925
Austria,35-64,1782543,1805655
Austria,>65,660299,895062
Belgium,<14,911854,871196
Belgium,14-17,254974,244470
Belgium,18-34,1214586,1196288
Belgium,35-64,2268982,2247275
Belgium,>65,857434,1135043
Bulgaria,<14,477946,451597
Bulgaria,14-17,128279,120886
Bulgaria,18-34,805345,751106
Bulgaria,35-64,1539232,1553619
Bulgaria,>65,574044,843317
Croatia,<14,299574,282985
Croatia,14-17,99016,94278
Croatia,18-34,467292,449113
Croatia,35-64,875661,896206
Croatia,>65,308137,474258
Cyprus,<14,66963,63358
Cyprus,14-17,20683,19883
Cyprus,18-34,116882,117843
Cyprus,35-64,158454,174927
Cyprus,>65,54507,64381
Czech Republic,<14,763345,724602
Czech Republic,14-17,185883,176443
Czech Republic,18-34,1197361,1136284
Czech Republic,35-64,2263862,2239095
Czech Republic,>65,751755,1073034
Denmark,<14,461611,439330
Denmark,14-17,141673,134810
Denmark,18-34,594457,577406
Denmark,35-64,1128354,1122860
Denmark,>65,466028,559710
Estonia,<14,100930,95422
Estonia,14-17,24364,22924
Estonia,18-34,154839,145704
Estonia,35-64,253761,276092
Estonia,>65,81013,160630
Finland,<14,427389,408456
Finland,14-17,122887,117948
Finland,18-34,596457,567015
Finland,35-64,1081985,1072586
Finland,>65,451557,604284
France,<14,5834349,5578815
France,14-17,1649689,1569357
France,18-34,6717096,6771932
France,35-64,12673042,13195418
France,>65,5010101,6813624
Germany,<14,5042780,4781638
Germany,14-17,1652134,1566932
Germany,18-34,8325321,8017859
Germany,35-64,17294321,17262241
Germany,>65,7240287,9568057
Greece,<14,764479,728347
Greece,14-17,219799,211299
Greece,18-34,1133299,1102166
Greece,35-64,2206029,2322862
Greece,>65,987982,1245432
Hungary,<14,683577,647724
Hungary,14-17,207234,195886
Hungary,18-34,1098855,1053247
Hungary,35-64,2069056,2189975
Hungary,>65,644237,1086256
Iceland,<14,31923,30636
Iceland,14-17,8913,8568
Iceland,18-34,40993,39208
Iceland,35-64,61366,61022
Iceland,>65,20117,22890
Ireland,<14,486208,466607
Ireland,14-17,122264,115731
Ireland,18-34,509808,529521
Ireland,35-64,891853,902788
Ireland,>65,267995,311888
Italy,<14,4055565,3823853
Italy,14-17,1174631,1103956
Italy,18-34,5705092,5547567
Italy,35-64,12979206,13377856
Italy,>65,5567077,7429981
Latvia,<14,141862,134927
Latvia,14-17,35543,33505
Latvia,18-34,233422,222308
Latvia,35-64,382137,436149
Latvia,>65,124061,257391
Liechtenstein,<14,2744,2500
Liechtenstein,14-17,811,870
Liechtenstein,18-34,3951,3815
Liechtenstein,35-64,8284,8383
Liechtenstein,>65,2608,3158
Lithuania,<14,203728,193909
Lithuania,14-17,69393,65617
Lithuania,18-34,336316,321673
Lithuania,35-64,564141,645956
Lithuania,>65,182334,360051
Luxembourg,<14,44285,41981
Luxembourg,14-17,13250,12501
Luxembourg,18-34,64707,63054
Luxembourg,35-64,118896,113632
Luxembourg,>65,33966,43346
Malta,<14,29206,27595
Malta,14-17,9726,9133
Malta,18-34,53404,49340
Malta,35-64,86456,84500
Malta,>65,33617,42356
Netherlands,<14,1354749,1292444
Netherlands,14-17,407420,388189
Netherlands,18-34,1770944,1738258
Netherlands,35-64,3486392,3471869
Netherlands,>65,1314602,1602329
Norway,<14,443939,423216
Norway,14-17,132615,125280
Norway,18-34,592599,563607
Norway,35-64,1031702,982250
Norway,>65,365994,445912
Poland,<14,2740982,2600471
Poland,14-17,816609,775983
Poland,18-34,4890209,4705899
Poland,35-64,7779788,8047875
Poland,>65,2175459,3480104
Portugal,<14,721110,686687
Portugal,14-17,227362,217799
Portugal,18-34,1022320,1033965
Portugal,35-64,2129596,2318619
Portugal,>65,856643,1209807
Romania,<14,1477650,1397648
Romania,14-17,444485,422635
Romania,18-34,2284472,2132943
Romania,35-64,4213925,4276904
Romania,>65,1325137,1970224
Slovakia,<14,397239,376709
Slovakia,14-17,118646,112454
Slovakia,18-34,702361,671277
Slovakia,35-64,1141160,1162967
Slovakia,>65,279475,453130
Slovenia,<14,145576,137399
Slovenia,14-17,38701,36322
Slovenia,18-34,229458,212122
Slovenia,35-64,461011,440390
Slovenia,>65,146091,213777
Spain,<14,3414365,3212491
Spain,14-17,885838,836520
Spain,18-34,4771309,4667133
Spain,35-64,10179299,10105222
Spain,>65,3623679,4802738
Sweden,<14,795398,752954
Sweden,14-17,208458,195668
Sweden,18-34,1096198,1044236
Sweden,35-64,1859796,1819949
Sweden,>65,854208,1016120
Switzerland,<14,579930,548827
Switzerland,14-17,176241,167306
Switzerland,18-34,909093,885016
Switzerland,35-64,1730375,1710096
Switzerland,>65,626178,805074
United Kingdom,<14,5429123,5175063
United Kingdom,14-17,1546370,1467607
United Kingdom,18-34,7359903,7268303
United Kingdom,35-64,12246685,12549134
United Kingdom,>65,5064408,6187534
